iter	Logloss
0	0.6532922827
1	0.6178499962
2	0.5857870981
3	0.556576657
4	0.5292568775
5	0.5029472542
6	0.481892144
7	0.4601912645
8	0.4431468247
9	0.4259390705
10	0.4116220211
11	0.3971289895
12	0.3822818242
13	0.3690850204
14	0.3569858215
15	0.3460970814
16	0.3354596643
17	0.3267074499
18	0.3195985984
19	0.3129017249
20	0.3046487622
21	0.2987987655
22	0.2920519738
23	0.2857222517
24	0.2810718483
25	0.2759349833
26	0.2706171846
27	0.2657258686
28	0.2615821705
29	0.257547722
30	0.2535653962
31	0.2496829767
32	0.2461834732
33	0.2436070797
34	0.2406456007
35	0.2376891082
36	0.2350234288
37	0.2325859243
38	0.2310348567
39	0.2291600471
40	0.2269943368
41	0.2250528821
42	0.2229356903
43	0.2214145246
44	0.2200535764
45	0.2182135328
46	0.2169096939
47	0.2153472534
48	0.2137669662
49	0.21250274
50	0.2108753341
51	0.2094919201
52	0.2083081614
53	0.2072741921
54	0.2060667253
55	0.2049103489
56	0.2038434507
57	0.202932571
58	0.2018561196
59	0.2010186736
60	0.2000568784
61	0.1991098504
62	0.1982971272
63	0.1976246229
64	0.1967083716
65	0.1958709431
66	0.1952119813
67	0.1944741967
68	0.1937305506
69	0.1929718924
70	0.1924260294
71	0.1918124716
72	0.1911744708
73	0.1905092801
74	0.1898702296
75	0.1893366143
76	0.1885595495
77	0.1879385905
78	0.1873895956
79	0.1867462584
80	0.1862640835
81	0.1857360322
82	0.1853079746
83	0.1847949705
84	0.1843711647
85	0.1837202864
86	0.1832893244
87	0.1829420318
88	0.1826380961
89	0.1822121557
90	0.1816303369
91	0.1812051139
92	0.1809554355
93	0.1806210905
94	0.180150481
95	0.1797329215
96	0.1793722964
97	0.179160271
98	0.1789388149
99	0.1786504513
100	0.1783703287
101	0.1781696062
102	0.1778784781
103	0.1774944423
104	0.1772714115
105	0.1769408633
106	0.1765820054
107	0.1761118507
108	0.1758794067
109	0.1755855141
110	0.1752387814
111	0.1750442702
112	0.1747941195
113	0.1744632038
114	0.1741779721
115	0.1738058692
116	0.1735291934
117	0.1732427544
118	0.1730060936
119	0.1727558904
120	0.1725229039
121	0.1722364125
122	0.1720021137
123	0.1717390854
124	0.1714931164
125	0.1712669186
126	0.1710236091
127	0.170764395
128	0.1705779324
129	0.1702520383
130	0.1700034098
131	0.1698236309
132	0.1696470714
133	0.1694764607
134	0.1692332737
135	0.1689100216
136	0.1687032452
137	0.1685426078
138	0.1683941305
139	0.1681994094
140	0.1679423124
141	0.1677711769
142	0.1675367732
143	0.1673137949
144	0.1671503754
145	0.1669007671
146	0.1666917686
147	0.1664116285
148	0.1662377635
149	0.166053068
150	0.1659562411
151	0.1658519956
152	0.1655241768
153	0.1652463638
154	0.1650999511
155	0.164910654
156	0.1647515037
157	0.1645931058
158	0.1643930307
159	0.1641981871
160	0.1640092749
161	0.1638034084
162	0.1634835332
163	0.1633845717
164	0.1632696532
165	0.163088877
166	0.1629670822
167	0.1628060773
168	0.1626950431
169	0.1625844462
170	0.1623908449
171	0.1622234362
172	0.162050551
173	0.1618748663
174	0.1616795328
175	0.1615057728
176	0.1613194326
177	0.16109278
178	0.1610034067
179	0.1608712889
180	0.1607361441
181	0.1605824703
182	0.1604219553
183	0.1602533918
184	0.1601497762
185	0.1599613889
186	0.1597659329
187	0.159623947
188	0.1594457953
189	0.1592063525
190	0.1590544809
191	0.1589143146
192	0.1587603259
193	0.1585627353
194	0.1583045011
195	0.1580741216
196	0.1579543915
197	0.1578137528
198	0.1577033309
199	0.1575631646
200	0.1573930789
201	0.1572649853
202	0.1571501368
203	0.1569359593
204	0.1568075158
205	0.1565572601
206	0.1564331208
207	0.1563234863
208	0.1562306661
209	0.1559708222
210	0.1558633223
211	0.1556736227
212	0.1555052867
213	0.1553707368
214	0.155243938
215	0.1550876222
216	0.1549437291
217	0.1547796098
218	0.1546403883
219	0.15447095
220	0.1544202619
221	0.1542640861
222	0.1541370949
223	0.1539718207
224	0.1538244108
225	0.1536239857
226	0.1534952798
227	0.1533511767
228	0.1532539824
229	0.1530656476
230	0.1529387613
231	0.1527260186
232	0.1525663434
233	0.1524248124
234	0.1523015829
235	0.1522238799
236	0.1520329381
237	0.1518797192
238	0.1517690524
239	0.1516432509
240	0.1515084911
241	0.1513363408
242	0.1511955796
243	0.1511074135
244	0.1509760831
245	0.1509104704
246	0.1508307902
247	0.1506382737
248	0.1505287617
249	0.1503997408
250	0.1502734844
251	0.1500937055
252	0.1499967736
253	0.1498873141
254	0.1498365735
255	0.1496646857
256	0.1494582942
257	0.1493153634
258	0.1491666237
259	0.1490769355
260	0.1488032866
261	0.1486669871
262	0.1485279231
263	0.1484298364
264	0.148343595
265	0.1482072605
266	0.1479348539
267	0.1477495286
268	0.1476582131
269	0.1475638708
270	0.14743429
271	0.1472882798
272	0.1471891958
273	0.1470559932
274	0.1469449589
275	0.1468382989
276	0.1467173265
277	0.1465228241
278	0.1464393472
279	0.146317255
280	0.1461959414
281	0.1460075016
282	0.1458505472
283	0.1456986231
284	0.1454112305
285	0.1453157946
286	0.1452492808
287	0.1451675886
288	0.1450057176
289	0.1448313977
290	0.1447582701
291	0.1447100228
292	0.1445299727
293	0.1444716211
294	0.1443550142
295	0.1441854534
296	0.143992377
297	0.1438460343
298	0.1437688387
299	0.1436429847
