iter	Passed	Remaining
401	19708	29317
402	19768	29285
403	19805	29218
404	19840	29148
405	19903	29119
406	19938	29050
407	19972	28979
408	20008	28911
409	20061	28868
410	20111	28822
411	20155	28765
412	20210	28725
413	20244	28655
414	20284	28594
415	20347	28564
416	20395	28513
417	20455	28481
418	20512	28442
419	20571	28408
420	20605	28338
421	20668	28308
422	20707	28246
423	20741	28177
424	20803	28145
425	20847	28089
426	20881	28021
427	20944	27991
428	20989	27936
429	21053	27908
430	21091	27844
431	21166	27830
432	21201	27763
433	21236	27695
434	21297	27662
435	21359	27630
436	21398	27567
437	21456	27531
438	21495	27468
439	21529	27401
440	21562	27332
441	21599	27267
442	21636	27204
443	21704	27179
444	21762	27142
445	21822	27107
446	21884	27074
447	21946	27040
448	21979	26972
449	22014	26906
450	22048	26840
451	22100	26794
452	22157	26755
453	22217	26719
454	22274	26680
455	22309	26615
456	22344	26549
457	22403	26513
458	22463	26476
459	22525	26442
460	22582	26403
461	22634	26358
462	22697	26325
463	22733	26261
464	22793	26224
465	22851	26185
466	22893	26128
467	22952	26091
468	23005	26047
469	23039	25980
470	23073	25914
471	23107	25849
472	23166	25811
473	23230	25778
474	23269	25718
475	23303	25653
476	23359	25611
477	23401	25555
478	23451	25507
479	23499	25457
480	23560	25421
481	23597	25359
482	23641	25305
483	23698	25265
484	23738	25206
485	23774	25144
486	23816	25088
487	23872	25046
488	23910	24986
489	23970	24948
490	24004	24884
491	24066	24849
492	24108	24793
493	24143	24730
494	24192	24681
495	24240	24631
496	24281	24574
497	24329	24524
498	24362	24460
499	24396	24396
500	24455	24357
501	24493	24298
502	24552	24259
503	24591	24201
504	24625	24137
505	24676	24091
506	24721	24038
507	24755	23975
508	24793	23916
509	24841	23867
510	24896	23824
511	24953	23783
512	24988	23722
513	25045	23681
514	25085	23623
515	25138	23579
516	25168	23513
517	25228	23475
518	25287	23436
519	25329	23381
520	25364	23319
521	25398	23257
522	25447	23209
523	25496	23160
524	25556	23122
525	25594	23063
526	25651	23022
527	25705	22978
528	25755	22931
529	25806	22884
530	25846	22828
531	25909	22792
532	25967	22752
533	26001	22690
534	26036	22630
535	26070	22568
536	26107	22509
537	26169	22472
538	26228	22432
539	26266	22374
540	26300	22314
541	26334	22252
542	26368	22192
543	26420	22146
544	26466	22095
545	26512	22045
546	26549	21987
547	26584	21927
548	26630	21876
549	26689	21836
550	26739	21789
551	26774	21730
552	26826	21684
553	26884	21643
554	26945	21605
555	26986	21550
556	27049	21513
557	27110	21474
558	27173	21437
559	27215	21383
560	27267	21337
561	27326	21297
562	27378	21251
563	27426	21202
564	27459	21141
565	27522	21103
566	27584	21065
567	27635	21018
568	27697	20980
569	27759	20941
570	27820	20902
571	27857	20844
572	27922	20807
573	27981	20766
574	28038	20724
575	28097	20682
576	28154	20640
577	28211	20596
578	28271	20556
579	28308	20499
580	28369	20458
581	28406	20401
582	28461	20357
583	28505	20305
584	28565	20264
585	28616	20217
586	28655	20161
587	28714	20119
588	28777	20081
589	28812	20022
590	28870	19979
591	28910	19925
592	28964	19879
593	29008	19827
594	29042	19768
595	29076	19709
596	29117	19655
597	29176	19613
598	29236	19572
599	29299	19533
600	29360	19492
601	29398	19436
602	29434	19378
603	29468	19320
604	29532	19281
605	29593	19240
